label,tweet
1.0,"Our CEO @MohammadDavar13 talks about InnoBrain's #innovative BCI platform, that combines #AI and #neuroscience for the usability testing of #Medicaldevices"
2.0,Neuroscience shows what’s right and wrong with #AI  https://t.co/T9LB31Kv93
1.0,The Fascinating Relationship between AI and Neuroscience by @jinglescode https://t.co/r8GbbZX5rr
2.0,How AI and neuroscience drive each other forwards https://t.co/VgPKcmZ0Ut
0.0,Bookmark: Dopamine and temporal difference learning: A fruitful relationship between neuroscience and AI | DeepMind https://t.co/SJuPvN9SDl
0.0,Brain Scans Support Reading And Language Development #NeuroPhotonics #NeuroScience #BrainScans #MRI #BrainImaging #MedicalImaging #AI #PioneeringMinds
1.0,Baby and adult brains ‘sync up’ during play - Piazza and her co-authors — Li https://t.co/9mdAtpBfiV #neuroscience #intoAInews
0.0,"\"Join Michael Smirnov, Ph.D., neural data scientist, Max Planck Florida Institute, at 4 p.m. on Jan. 17, as he presents at the next FAU's Frontiers in Science Public Lecture, \"\"How AI and Machine Learning are Redefining Neuroscience.\"\" https://t.co/ynMbvp304l https://t.co/8yULDRarGd\""
0.0,"Neuroscience Market Research by Industry Size, Share, Trends, Analysis and Forecast, -  https://t.co/uk0yQbYSjF #neuroscience #intoAInews"
0.0,"St. Mary’s College Students, Faculty, and Alumni Present at Society for Neuroscience -  https://t.co/r0YsyKkBXn #neuroscience #intoAInews"
1.0,The search for secrets of the human brain - And there are now many other j https://t.co/U6GZgUHNU9 #neuroscience #intoAInews
0.0,"Curating the Internet: Science and technology micro-summaries for October 16, 2019 https://t.co/tirKAMrRRU via @theoldreader #health #neuroscience #ted #cosmology #physics #ai #plagiarism #flash #programming #technology #energy #science #steem #steemtweets"
0.0,Basically what I want to study and work with in one picture 😍💁👩‍💻🥰 #WIT19 #WomenInTechFi #womenintech ⁦@marissamayer⁩ #neuroscience #psychology #AI #linguistics #cognition #philosophy = #SymbolicSystems Got any of them exchange programmes? ⁦@Stanford⁩ 😄🤓 https://t.co/As6WfkGszD
0.0,Aversive Training Induces Both Pre- and Postsynaptic Suppression in Drosophila -  https://t.co/D7BpddGZj6 #neuroscience #intoAInews
0.0,Professor Usha GOSWAMI and Sir Fazle Hasan ABED KCMG Named Yidan Prize Laureates for … -  https://t.co/juGdBcG9Tj #neuroscience #intoAInews
1.0,Never Enough: the neuroscience and experience of addiction - That is the new and https://t.co/2L47zfhpx1 #neuroscience #intoAInews
2.0,"\"\"\"This is the first report of a completely artificial memory"
0.0,"Traumatic Brain Injuries Treatment Market Outlook with Trends, Types, Applications and -  https://t.co/Aee6FGTUZl #neuroscience #intoAInews"
0.0,#Neuralink and its #future #possibility
0.0,https://t.co/GcoKCLWjuY if #rTPJ is #empathy is #theoryofmind can #AI #DataScience #machinelearning #deeplearning and #neuroscience create a #neuralnetwork #DigitalTwin ? #TuesdayThoughts
1.0,"RT @CMU_Stats: Continuing our great week, big congratulations to joint @CarnegieMellon CNBC/@mldcmu and @CMU_Stats Pedagogy research group member Josue Orellana Arreaga on his successful PhD proposal today! #neuroscience #datascience #teachingscience #allthescience …"
0.0,EMPATHISE”
0.0,Inside Out And Outside In: Layne Kalbfleisch Uses Neuroscience And Psychology To Help Clients -  https://t.co/T3RWQUTuAU #neuroscience
1.0,"How #Marketing discredits serious #Science. Combining #AI, #BigData and „applied“ #NeuroScience allegedly allows „to understand precisely how and when individuals are making decisions.“ The latest hype to sell #EmergingTech as a useful tool to develop a new #BusinessStrategy."
1.0,MDMA increases cooperation and recruitment of social brain areas when playing trustworthy … -  https://t.co/SGWCYt2OkF #neuroscience
0.0,Global and Assays Market 2019 Industry Development – Thermo Fisher … - Global https://t.co/IW7ZDM0eU1 #neuroscience
0.0,After 1 day at EuroDIG (The Hague): back again at At 'Bias in AI and Neuroscience - transdisciplinary conference' at  @Radboud_Uni @DondersInst #BIAS2019. Now keynote by Joanna Redden (@DataJusticeLab)
0.0,International Stem Cell Corporation Announces 2018 Fourth Quarter and Year-End Results - ... cohort https://t.co/cUQhr3wOjS #neuroscience
0.0,"Rush Hour at the Neuroscience, AI and Mindfulness Roundabout https://t.co/FfKlVV3yLq via @linkedin"
0.0,Contact - The Carlson and Zelazo Lab Uni https://t.co/5hHXeGLWCX #neuroscience
0.0,The Cognitive Intersect of Human and #ArtificialIntelligence – Symbiotic Nature of AI and #Neuroscience
1.0,Philosophers and neuroscientists join forces to see whether science can solve the mystery of free -  https://t.co/1Qf3YTMj5o #neuroscience
1.0,New NTU institute to study technology’s impact on society and address human anxieties - ... https://t.co/NsQhzqCZiq #neuroscience
0.0,Science and brews at Sudwerk - The UC Davis Neuroscience Grad https://t.co/SZnuyf2rtw #neuroscience
0.0,Neuroscience vis-à-vis business and politics - I started reading articles in https://t.co/YQ6F3t8Vux #neuroscience
1.0,This week’s best tech news 📰:
1.0,"This Valentine’s Day: Your Brain on Love - That question, and others abou https://t.co/l3N8ySY4nR #neuroscience"
1.0,"NEW VIDEO: Neuroscience brain studies, the rise of AI and the next-level fusion of data are among the topics that brought together 230 of the country's top marketers to @UMCanada1's annual client summit.  (1 of 2) #marketing #advertising #agencies https://t.co/bXfTJYyaWW"
1.0,"AI augments our humanity. Great move by MIT to lay the foundation for AI ethics and spearheading synergies  among cognitive science, neuroscience and computer science. Huge win for CIOs to spur AI driven ecosystem opportunities. Bo…https://t.co/4ow3OxKXi6 https://t.co/WEXfzODhhF"
0.0,"Exosomes in Parkinson’s disease: current perspectives and future challenges - Exosomes, which are https://t.co/9Tfhf5Gbyr #neuroscience"
2.0,"My blog that focuses on The Absurd in the confrontation of human and the harsh reality of existence; through the exploration of AI, Neuroscience, Philosophy, and Literature. (https://t.co/LTprcNWceF)"
0.0,FutuRx Launches GliXogen Therapeutics to Develop Novel Therapies for Multiple Sclerosis and … - The https://t.co/BUmdD2XwDC #neuroscience
0.0,"via @RichardEudes - AI and Neuroscience: A virtuous circle https://t.co/s5vhP1IanJ #ai, #analytics, #artificialintelligence, #bigdata, #datascience, #fintech, #insurtech, #machinelearning, #robots https://t.co/f5hfn6uZLV"
1.0,New Theory of Intelligence May Disrupt AI and Neuroscience https://t.co/8FTBuSF8vY https://t.co/ilVIPtW570
1.0,"Work of our data scientist’s, Dr. Gautam Pramanik and his colleagues just got released in one of the top scientific journals, Nature Neuroscience! We’re proud that he’s a part of savedroid family and he is one of the brilliant guys who stay behind our AI!"
2.0,Combining AI and neuroscience to transform lifelong learning - https://t.co/CrOthQ3ZLY https://t.co/JpO8v15mDd
2.0,Tiny Tunnels Previously Unknown To Scientists Found Between The Skull And Brain - It isn't every day https://t.co/pnIfzl0OHH #neuroscience
0.0,Trends in Neuroscience and Education - Recent Posts. The neuroscience https://t.co/ttAT7oEU72 #neuroscience
0.0,"Neuroscience Market 2018 Global Industry Outlook, Demand, Key Manufacturers and 2025 … - Neuroscience https://t.co/EYslv7Kvta #neuroscience"
0.0,"but could always use suggestions.\""
1.0,Interesting piece on #AI and #neuroscience by @Stanford #HR https://t.co/hKvPjo7tUj https://t.co/qKmcYo7OPl
0.0,Addiction Neuroscience and Tobacco Control - Neuroscience and genetic resea https://t.co/FG16gv034x #neuroscience
1.0,"Scientific Learning Introduces New, Smarter Fast ForWord Intervention for Struggling Readers and … -  https://t.co/O19kgNbqZN #neuroscience"
0.0,its about time.
1.0,Neuroscience Antibodies and Assays Market Worth 4.18 Billion USD by 2023 - According to a new market https://t.co/U6pQBdxcaE #neuroscience
1.0,It’s certainly an exciting week as we integrate #technology #education #AI and #neuroscience with @ThisIsCentury. More details will follow soon. https://t.co/SksFpV9LaH
0.0,"WATCH: Israel at 70 – Israeli scientists and the future of the brain - Segev, of the Edmond and Lily https://t.co/9S7fhLKtAm #neuroscience"
0.0,Rutgers professor improves facial deformities and patient self-esteem as leading plastic surgeon -  https://t.co/Ayh3yc3FYf #neuroscience
1.0,Is it possible to enhance and rewire the adult brain? – Science Weekly podcast - To find out more https://t.co/odwBZchN6G #neuroscience
0.0,March 16: Behavioral Neuroscience Program to Host Brain Expo - Student talking to parent and https://t.co/iiFRRP4gg8 #neuroscience
0.0,"The Human Auditory System, Vol 129. Handbook of Clinical Neurology – Biology and Life … - The The https://t.co/Kq5fBTcBiq #neuroscience"
0.0,Research Assistant/Associate in Computational and Theoretical Neuroscience - Dr Timothy O'Leary https://t.co/64aoGm0pJb #neuroscience
0.0,"Brexit, borders and brains - The nature of the Irish border https://t.co/8KCeeLpkqd #neuroscience"
1.0,"\"RT mynomadicrooms \"\"RT 33signals \"\"RT adage \"\"RT ahurterzi: Excited to attend #AdAgeNext today -- AI"
1.0,Shearer backs Stirling University’s call for more research into links between headers and dementia -  https://t.co/AlXPSmiuBI #neuroscience
0.0,An irrational neuroscientist - My four-and-a-half year stint https://t.co/0jMmKurgEk #neuroscience
0.0,“Hacking Hippocampus: the Next Frontier for #MachineLearning and beyond…” by @ybarzov https://t.co/gGlxdIP2Jq #neuroscience #AI https://t.co/JNhbOfV8xi
0.0,Achievingence: Responsibilities and Contributions of Neuroscience - Achieving https://t.co/bGIyNbZvAy #neuroscience
0.0,#AI
1.0,"The potential of AI and neuroscience to improve mental health is vast, and #LobeSciences is making important strides. This new financing is a vote of confidence in the company's mission"
0.0,Ai neuroscience and blockchain will all be integrated #matrix $man
1.0,"@TylerAlterman @nickcammarata AI research seems the most promising direction of approach. i suspect ripples from here will strongly influence neuroscience, psychology and others in the not too distant future. onwards, towards some form of unification 🙂."
0.0,"@visencello Writing Studies, with a focus on linguistics and pedagogy of teaching academic writing."
1.0,@enilev @BlackrockNeuro_ @GlenGilmore @labordeolivier @gerald_bader @EvaSmartAI @bimedotcom @CurieuxExplorer @jeancayeux @sallyeaves @HakomTimeSeries @debashis_dutta @sonu_monika Interesting - thank you Eveline for sharing and inclusion🙏👋
2.0,"Also, computational neuroscience is not AI. These models have a different purpose, and as far as AI is concerned, modelling actual neural function is irrelevant. Manifold learning doesn’t implement any neuroscientific insights and is at the core of few-shot ML operation."
1.0,We are happy to announce a new collaboration with the Global Neurosciences Institute (GNI).🎉
2.0,"Conference Watch: AI, Neuroscience and Hardware: From Neural to Artificial Systems and Back Again"
1.0,"There is a rich mutual exchange between AI and neuroscience because of remarkable similarities and a probable shared mathematical basis, at least in some areas."
1.0,"The article is a great read by @techreview, and it explores neuroscience as a metaphor to understand AI and the importance of modern data management."
2.0,Ever wondered how AI and neuroscience can help financially vulnerable customers?
1.0,I had a wonderful time talking about my work bridging #neuroscience with #AI with @ronaldeddings @chrishvm and @daviottenheimer.
1.0,"AI/ML in Neuroscience and does productivity matter? But it's going to be epic to be back in lecture theatres 🙌🤓\""
0.0,on January 27 at 8 am Pacific
0.0,#AI and neurology: How #MachineLearning is revolutionizing neuroscience
1.0,Always intriguing to see the connection between AI development and Neuroscience research! Check out this article about an AI algorithm that is being developed to detect behavioral symptoms of anxiety. #PSY303DC
2.0,"In this mad world of triumphing Māra, such a partnership is the most dangerous idea, for ultimately it paves the way to the Matrix where human minds will be controlled and manipulated by AI via the neurointerface tech, which is impossible without the achievements of neuroscience."
1.0,Stoked to be amongst many of my role models speaking at Montreal AI &amp; Neuroscience 2021 this year! https://t.co/fPrWmsybnj
1.0,"I know that #SFN21 is now virtual this year, but I'm still prepping my presentations and poster with gusto! I'm bummed that I can't show things to people in person, but I'm still excited to show all the cool #AI and #neuroscience research that we've been up to at @MBFBioscience."
0.0,"🔥🔥🔥‘Thinkers And Innovators’: What It Will Take To Figure Out The Brain, From A Neuroscience And AI Pioneer - Forbes https://t.co/BmaGG2qIzE via @forbes #deeplearning #ai https://t.co/xtyBSzbPyE"
1.0,@bayesianboy @DioVicen @ineshipolito @exilefaker @JBruineberg @ThomasvanEs9 I strongly disagree here: Our team literally builds generative models (e.g. DCMs or POMDPs) in all of our FEP/AI modelling and in the neuroscience work.
2.0,Blind Spots Uncovered at the Intersection of AI and Neuroscience – Dozens of Scientific Papers Debunked - https://t.co/TUnRaM1LTZ By @SciTechDaily1
0.0,@lexfridman
0.0,"Jovmean: 2020 in Neuroscience, Longevity, and AI—and What’s to Come [SingularityHub, 22 December 2020]"
2.0,Discussions with researchers and thought leaders on cutting edge research. Bridging the Gaps IE #podcasts listen and share to spread the word #knowledge #SciComm #physics #AI #brain #psychology #philosophy #astronomy #neuroscience #PhD #learning
0.0,a clinical-stage neurovascular bioelectronics #startup with Series A #funding
2.0,"@OpenAcademics Hi, I’m Parham, a Master's student in Artificial intelligence. Besides AI and its methods such as machine learning, Data mining, and Deep learning I'm learning Neuroscience to helping Alzheimer's patients :) https://t.co/RDpxFOBe6Z"
0.0,How AI May Disrupt the Fragrance and Flavor Industries
0.0,"Join us for our virtual conference on Oct. 7 to explore the melding of neuroscience, psychology and #AI. #NeuroHAI https://t.co/Opi8EOQeSS"
1.0,"Are you registered to (virtually) attend #ESOF2020? If so, you can hear from many ERC funded researchers on topics as diverse as #CRISPR, #AI, #earthquakes, #immunotherapy, #neuroscience and more!"
1.0,"A great paper by Demis Hassabis on the intertwined history of #neuroscience and artificial intelligence, and how they have greatly influenced each other: https://t.co/sBrsdNRgUB."
0.0,open to the public.
0.0,@chidambara09 @slarratt1 @HW_MA @SailorGirlDebs @OptimumComms @IXICOnews @purestockfacts @ruth_proactive @BGFinvestments @proactive_UK #IXI-7% 64p❌#IXICO #pharma #lifesciences #medtech #biopharma #neuroscience #biotech #clinicaltrials
1.0,"Researchers from @WVUMedicine and the Rockefeller Neuroscience Institute, have used #AI to analyse data from Oura’s wearable rings and predict COVID-19 symptoms three days early."
0.0,"Study shows brain and stomach connections are a two-way street - ... said Peter Sterling, https://t.co/ZasdPgn6cG #neuroscience #intoAInews"
1.0,How does the #humanbrain recognize and control tone of voice?  https://t.co/17zWniDtNm  We all know it's not so much what is said but how it is said. #Prosody is concerned with the musicality of the human voice. #neuroscience #nlp #ai #asr #automaticspeechrecognition
0.0,Why The Last Two Months Have Felt Like “Groundhog Day” - She's a memory expert and prof https://t.co/mmpcUrpRIL #neuroscience #intoAInews
0.0,Global Neuroscience Market Research Report 2024 – Survey and Statistics - The https://t.co/0RWcVboURA #neuroscience #intoAInews
1.0,"@a_darkhorse_ @ruskin147 @demishassabis And, as I quite clearly said above, his expertise in AI will be why he was there. I’m sure the neuroscience background will be useful as well though."
0.0,"Neuroscience, AI and the Future of Education | Scott Bolland | TEDxSouthBank https://t.co/4MjhulKQzU  #AI #artificialIntelligence #educación #education #eLearning #IA #inteligenciaArtificial #machineLearning #neuroeducación #neurology #neuroscience #science #edtech #tech https://t.co/6oNe20YVV0"
1.0,"How does the mind work? I find this question fascinating.  And so do neuroscientists, psychologists, behavioural economists, and of course, AI researchers."
0.0,The SA women smashing science stereotype – Neuroscientists Rachael Dangarembizi and U -  https://t.co/70Znw9jKVb #neuroscience #intoAInews
0.0,A Bigram Poem inspired by Ronald_vanLoon:
0.0,What stuck out in the Deepmind article:
0.0,"Neuroscience, AI and the Future of Education | Scott Bolland | TEDxSouthBank https://t.co/4MjhulKQzU  #AI #artificialIntelligence #educación #education #eLearning #IA #inteligenciaArtificial #machineLearning #neuroeducación #neurology #neuroscience #science #edtech #tech https://t.co/K7VZcUwzxX"
1.0,Towards naturalistic human neuroscience and neuroengineering: behavior mining in long-term video and neural recordings. (arXiv:2001.08349v1 [https://t.co/YMJiVElLNG]) https://t.co/Y6iduQVZoE
2.0,Neuroscience shows what’s right and wrong with AI - Multi-layered networks of arti https://t.co/DGqcB95gYF #deeplearning #intoAInews
1.0,"The more we work with artifical intelligence, the more we learn about human intelligence. True in neuroscience and in our experience in Acumex also in business."
0.0,IIT Madras Winter Course on Machine Intelligence and Brain Research begins Today (2nd -  https://t.co/UZcEXFgviS #neuroscience #intoAInews
1.0,Neuroscience Brain-Based Learning and Innovative Education Named Top 100 Site -  https://t.co/sbx7PNfpRp #neuroscience #intoAInews
0.0,Comparing of BeyondSpring Inc. (BYSI) and Minerva Neurosciences Inc. (NASDAQ:NERV) - Both https://t.co/SwGK3GuUNv #neuroscience #intoAInews
1.0,"@ayuni_kamal normally it will be Psychology but I met a counsellor who told me the best major I could look for is Cognitive Science. it combines computer science (which I’m currently studying but more on the AI side), neuroscience and psychology"
1.0,"Are you interested in both neuroscience and AI? Do you think AI has more to learn from neuroscience? Then come to the first annual NAISys Meeting, March 24 - 28, 2020!"
1.0,"\"Really enjoyed @GaryMarcus interview. Such an accurate account of the rights and wrongs with the current AI approaches. Esp liked \"\"AI will perhaps help neuroscience more than the other way round\"\"\""
0.0,Six Penn Faculty Members Elected to National Academy of Medicine - He originated and has https://t.co/w41n5CzKop #neuroscience #intoAInews
1.0,First special lecture at #SfN19 by Fei Fei Li on dialogues between neuroscience and society #AI #MachineLearning
2.0,Honored to be speaking at the @magdalenoxford @UniofOxford alumni reception in New York together with @JonKrohnLearns on #neuroscience and artificial intelligence! Nov 21st @ 6:30pm #AI  https://t.co/6p9KQjMvyT
0.0,Convolutional Neural Networks
0.0,How can AI and supercomputing help with the treatment of brain disease and disorder? The DOE intends to find out: https://t.co/Wr5yrjq60g
1.0,"Now what exactly can Neuralink do? What Musk is aiming at is a fascinating realm of neuroscience, technology and AI. Neuralink can offer wearable devices that would bring mobility back to paraplegics and may help regain speech and vision in people who have lost these faculties."
0.0,UO researchers look to future of neuroscience and data collection - The universities are teaming u https://t.co/oFNLc5JZ16 #neuroscience
0.0,"Proof at last: women and men are born to be different - The work, involving 118 foetus https://t.co/ghMUl9XJOd #neuroscience"
1.0,"@wef writes about our  @STRATCOMCOE report. Author has nailed it- story is not about soldiers, but that our societies are quickly becoming vulnerable to data based manipulation. The combination of big data, AI and latest neuroscience discoveries has explosive potential."
0.0,How neuroscience is exploding the myth of male and female brains - How neuroscience is exploding https://t.co/WA5LumDT7I #neuroscience
2.0,"Smoking and alcohol: Double trouble for the brain? - Now, researchers reporting in https://t.co/54Jk2HBZJk #neuroscience"
0.0,Neuroscience and Behavioral Biology - About this Honors Thesis. Stud https://t.co/cPb4EPI6HP #neuroscience
0.0,"As neuroscientists, we must look outwards and resist the tendency in the UK in 2019 to look -  https://t.co/tTTpmWYMgN #neuroscience"
2.0,Common Food Additives Have Been Linked To Anxiety And Behavior Changes - Neuroscientists at Georgia https://t.co/qvEld4juRQ #neuroscience
1.0,"I simply love the elegance of integrating #neuroscience, systems theory, #biology, #physics and #mathematics. Apparently, #ActiveInference produces measurable improvements and it's a step forward in abstracting meaning and intelligent behaviour. #AI #ML https://t.co/r8xWVgRg46"
0.0,Psychoanalysis and Neuroscience - Core concepts of psychoanalysi https://t.co/PJedkz0PL0 #neuroscience
0.0,Researchers identify the neural basis of threatening and aggressive behaviors in Drosophila -  https://t.co/kZoBzxlkVF #neuroscience
1.0,New Theory of Intelligence May Disrupt AI and Neuroscience https://t.co/8Q1bDJOpzM
1.0,Worldwide Neuroscience Market Outlook to 2023: Emerging Trends and Will Generate New … - Neuroscience https://t.co/lstuZ1ZX8N #neuroscience
2.0,"@CousinAmygdala @rhyolight @Nebula63 @LDrogosPhD @markgbaxter @nytimes @TheOnion @Numenta Are you so sure that if the field does find Numenta's framework helpful by any means in the future, it would not have a big impact on how we think about neuroscience and AI? You are generalizing some bad examples in tech to some work you are not familiar with."
0.0,"\"\"\"Driving Innovation Through Feedback: Neuroprosthetics\"\" is a panel in the CAN Symposium that includes expert perspectives in computational neuroscience"
2.0,"\"\"\"The Pentagon is investing $2 billion into artificial intelligence!\"\""
0.0,40th W. Alden Spencer Award goes to Silvia Arber and Botond Roska - The W. Alden Spencer Award is https://t.co/GUY9Hm1A0F #neuroscience
0.0,"\"#elearning @ESICEducation #innovacion #IA \"\"Neuroscience"
1.0,A Neuroscientist Explains How Caffeine and Nicotine Are Linked to Anxiety - People often feel more https://t.co/oVXgZHPCu5 #neuroscience
1.0,"@shuckle EdTech is easy! Just need gamified VR using the block chain and AI to personalise learning with neuroscience. Or, you know, actually trying to understand either “ed” or “tech”..."
0.0,"AI meets neuroscience, and it's goodbye resumes, hello games - Big Think (blog) https://t.co/CA8bfbnQYT"
1.0,@HealthTechReads #HTreads Most definitely! As #cognitive AI advances our ability to process care will be rapidly increased. For exp. I'm going back to uni for a PhD in computational neuroscience with a focus on AI and neural net...this alone could help us begin to program our own health.
0.0,Haskins Laboratories expands reach of language and literacy research - An international and interdisc https://t.co/cQNru3gXG5 #neuroscience
1.0,Dr. Neville Sanjana receives 2018 AAAS Martin and Rose Wachtel Cancer Research Award - ... and https://t.co/GeJazwsFyi #neuroscience
0.0,“Bridging the Gaps Between Humans and Machines” by Travis Byrne https://t.co/MR1pAoyTyi #ai #neuroscience #cognitivescience #brain #computer #bci #language #transhumanism #future
1.0,"What's the latest news about educational neuroscience, cognition, AI and learning design? Join our newsletter and join the conversation: https://t.co/oXJpNeUA65 #thanks - 🚀Get More Twitter Followers https://t.co/9SnLVu0M2Z https://t.co/EDfOULPoTo"
2.0,Always interesting...neuroscience can inform research on both real and artificial intelligence. How can we tell when AI includes a g-factor? https://t.co/snroUJKj79
1.0,#AI systems could use #MachineLearning algorithms to analyze #fMRI #data... to predict the *phrases that you are thinking about*. Ops. Sounds very interesting (and very BlackMirrorish...). #Psychology #cognition #neuroscience https://t.co/Saj3lfhB0n
1.0,What does inter-connectivity with an alternate universe look and sound like?  #language #system #communication #neuroscience #telepathy #futures #AI
0.0,Research Associate in Computer Vision and Computational Neuroscience at Cardiff University - View https://t.co/OWHH0VjRJB #neuroscience
0.0,"@fchollet When AI come close to human, that means AI has consciousness, and that changes the paradigm of thinking AI. And pre-singularity is reality of big change. Attached is showing illustrated concept of consciousness mechanism: https://t.co/zNqrsuk30E #neuroscience"
0.0,"\"\"\"AI and Neuroscience: A virtuous circle\"\" on Deepmind's blog: https://t.co/GoJDGdIDt0\""
1.0,Neuroscience with Azure Machine Learning | AI Show AI's Latest and Greatest https://t.co/ZB07bzYgYi
0.0,Contribution of electro-cortical imaging to neuroscience of aging and cognitive decline https://t.co/3DcmImxwc0 https://t.co/liicgfC3Ef
0.0,Blake Richards on how a motivational cycle can be built between AI research and neuroscience: https://t.co/IzHz5SVQ8A
2.0,I SO want to go to this. #neuroscience #AI #computationalbiology - all things up my alley! All they're missing is this 3D stuff in #AR #VR. Math + CS w/ a combo of art and design rules the world. https://t.co/u2AiScsOlU
0.0,"ProMIS Neurosciences Announces Trading on OTCQB Venture Market - TORONTO and CAMBRIDGE, Mass., https://t.co/Qb0EHCMUsJ #neuroscience"
2.0,Questions and answers with journalist Paul Tough - The evidence from neuroscience https://t.co/DwlCWHdxKO #neuroscience
1.0,RT @ahier: Four #ethical priorities for #neurotechnology and #AI
0.0,CNS Neuroscience and Therapeutics -  https://t.co/ucut1QjuNv #neuroscience
1.0,"\"Essential reading! \"\"Four ethical priorities for neurotechnologies and AI\"\"  &gt;&gt; https://t.co/hOZowqTY2r @NatureNews @yusterafa #brain #ArtificialIntelligence #ethics #neuroscience #tech https://t.co/3Q2fwtF4Lc\""
0.0,Itinerary Planner and Mobile App - With a meeting that includes t https://t.co/ywb3sdCqI7 #neuroscience
